"","Abortion","Child Sexual Abuse","Murder","Fraud","Euthanasia","Tax Evasion","Child Abuse","Piracy","Bribery","Robbery","Terrorism","Drug Trafficking","Vandalism","Rape","Partner Violence"
"Abortion",1,0.085722,0.025655,0.042205,0.604076,0.073945,-0.041032,0.449203,0.018659,0.180428,0.310467,0.230059,0.297408,0.115491,0.114274
"Child Sexual Abuse",0.085722,1,0.325137,0.325086,-0.094125,0.16272,0.503672,0.142426,0.31482,0.214375,0.164438,-0.018294,0.009157,0.584746,0.354938
"Murder",0.025655,0.325137,1,0.288178,0.113507,0.07278,0.065067,0.105553,0.109384,0.239807,0.353226,0.189614,0.049971,0.313258,0.102649
"Fraud",0.042205,0.325086,0.288178,1,0.058811,0.463939,0.243515,0.465937,0.570495,0.381943,0.044657,0.215071,0.293835,0.110921,0.122087
"Euthanasia",0.604076,-0.094125,0.113507,0.058811,1,0.154785,0.080762,0.33503,0.012074,0.127638,0.281803,0.186289,0.212308,-0.006689,0.205767
"Tax Evasion",0.073945,0.16272,0.07278,0.463939,0.154785,1,0.248768,0.349229,0.405975,0.168697,0.077732,0.079164,0.206038,0.092918,0.049416
"Child Abuse",-0.041032,0.503672,0.065067,0.243515,0.080762,0.248768,1,0.095837,0.25631,0.080622,0.032076,0.043328,0.180835,0.393368,0.502684
"Piracy",0.449203,0.142426,0.105553,0.465937,0.33503,0.349229,0.095837,1,0.40249,0.372701,0.263381,0.2792,0.356132,0.048744,0.15979
"Bribery",0.018659,0.31482,0.109384,0.570495,0.012074,0.405975,0.25631,0.40249,1,0.497439,0.156,0.180921,0.123701,0.139686,0.172773
"Robbery",0.180428,0.214375,0.239807,0.381943,0.127638,0.168697,0.080622,0.372701,0.497439,1,0.382358,0.434689,0.3465,0.287005,0.118691
"Terrorism",0.310467,0.164438,0.353226,0.044657,0.281803,0.077732,0.032076,0.263381,0.156,0.382358,1,0.305773,0.346668,0.086607,0.068566
"Drug Trafficking",0.230059,-0.018294,0.189614,0.215071,0.186289,0.079164,0.043328,0.2792,0.180921,0.434689,0.305773,1,0.444437,0.03992,0.09154
"Vandalism",0.297408,0.009157,0.049971,0.293835,0.212308,0.206038,0.180835,0.356132,0.123701,0.3465,0.346668,0.444437,1,0.151806,0.212253
"Rape",0.115491,0.584746,0.313258,0.110921,-0.006689,0.092918,0.393368,0.048744,0.139686,0.287005,0.086607,0.03992,0.151806,1,0.539872
"Partner Violence",0.114274,0.354938,0.102649,0.122087,0.205767,0.049416,0.502684,0.15979,0.172773,0.118691,0.068566,0.09154,0.212253,0.539872,1
