"","Abortion","Child Sexual Abuse","Murder","Fraud","Euthanasia","Tax Evasion","Child Abuse","Piracy","Bribery","Robbery","Terrorism","Drug Trafficking","Vandalism","Rape","Partner Violence"
"Abortion",1,-0.049449,-0.042212,-0.200017,0.47949,-0.102109,-0.088631,0.178312,-0.185166,-0.032536,0.115507,0.119971,0.14771,-0.076284,-0.05268
"Child Sexual Abuse",-0.049449,1,0.160727,0.241602,-0.243668,0.111765,0.474244,0.02514,0.283292,0.139935,0.099898,0.033496,0.141057,0.457442,0.270709
"Murder",-0.042212,0.160727,1,0.296717,-0.004869,0.027175,0.040801,0.136043,0.159678,0.226716,0.254552,0.130745,0.103628,0.143638,0.014917
"Fraud",-0.200017,0.241602,0.296717,1,-0.158271,0.501774,0.290512,0.243399,0.488261,0.346412,0.128274,0.195209,0.132936,0.230874,0.123585
"Euthanasia",0.47949,-0.243668,-0.004869,-0.158271,1,-0.002322,-0.072072,0.075588,-0.251547,-0.121216,0.105482,0.063693,0.073674,-0.108715,-0.015354
"Tax Evasion",-0.102109,0.111765,0.027175,0.501774,-0.002322,1,0.188032,0.228081,0.401151,0.265185,0.033758,0.117886,0.045112,0.163532,0.134491
"Child Abuse",-0.088631,0.474244,0.040801,0.290512,-0.072072,0.188032,1,0.143917,0.308226,0.195954,-0.073371,0.098936,0.20671,0.394025,0.504614
"Piracy",0.178312,0.02514,0.136043,0.243399,0.075588,0.228081,0.143917,1,0.205321,0.313318,0.112175,0.302655,0.31044,0.032878,0.098461
"Bribery",-0.185166,0.283292,0.159678,0.488261,-0.251547,0.401151,0.308226,0.205321,1,0.392903,0.13206,0.148924,0.087737,0.223452,0.216727
"Robbery",-0.032536,0.139935,0.226716,0.346412,-0.121216,0.265185,0.195954,0.313318,0.392903,1,0.204514,0.313103,0.35314,0.264567,0.144047
"Terrorism",0.115507,0.099898,0.254552,0.128274,0.105482,0.033758,-0.073371,0.112175,0.13206,0.204514,1,0.182682,0.180398,0.040067,-0.026259
"Drug Trafficking",0.119971,0.033496,0.130745,0.195209,0.063693,0.117886,0.098936,0.302655,0.148924,0.313103,0.182682,1,0.365665,0.040101,0.020222
"Vandalism",0.14771,0.141057,0.103628,0.132936,0.073674,0.045112,0.20671,0.31044,0.087737,0.35314,0.180398,0.365665,1,0.148023,0.150608
"Rape",-0.076284,0.457442,0.143638,0.230874,-0.108715,0.163532,0.394025,0.032878,0.223452,0.264567,0.040067,0.040101,0.148023,1,0.430316
"Partner Violence",-0.05268,0.270709,0.014917,0.123585,-0.015354,0.134491,0.504614,0.098461,0.216727,0.144047,-0.026259,0.020222,0.150608,0.430316,1
